token,list of numbers
elev,"[2, 0, 0, 0, 2, 0, 6, 0, 7]"
combin,"[4, 0, 13, 0, 16, 0, 42, 0, 43]"
crisp,"[3, 0, 7, 0, 12, 0, 22, 0, 28]"
veget,"[43, 0, 53, 0, 105, 0, 179, 0, 171]"
complex,"[0, 0, 1, 0, 3, 0, 16, 0, 7]"
staff,"[106, 0, 120, 0, 150, 0, 267, 0, 328]"
commit,"[2, 0, 2, 0, 0, 0, 1, 0, 0]"
overal,"[42, 0, 93, 0, 183, 0, 270, 0, 115]"
ap,"[14, 0, 11, 0, 28, 0, 48, 0, 22]"
un,"[12, 0, 15, 0, 41, 0, 66, 0, 82]"
lav,"[0, 0, 0, 0, 2, 0, 5, 0, 1]"
blaz,"[0, 0, 0, 0, 2, 0, 3, 0, 1]"
aahhhloh,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
sun,"[0, 0, 1, 0, 5, 0, 5, 0, 6]"
soak,"[4, 0, 4, 0, 5, 0, 3, 0, 5]"
favorit,"[7, 0, 5, 0, 22, 0, 72, 0, 82]"
cub,"[9, 0, 2, 0, 3, 0, 5, 0, 2]"
ah,"[1, 0, 2, 0, 7, 0, 5, 0, 2]"
sweet,"[34, 0, 73, 0, 108, 0, 185, 0, 108]"
cab,"[2, 0, 10, 0, 10, 0, 24, 0, 13]"
wakam,"[0, 0, 0, 0, 0, 0, 2, 0, 0]"
salad,"[74, 0, 90, 0, 194, 0, 295, 0, 178]"
scal,"[0, 0, 0, 0, 3, 0, 12, 0, 4]"
avocado,"[6, 0, 20, 0, 16, 0, 40, 0, 26]"
waikik,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
mayo,"[7, 0, 18, 0, 16, 0, 33, 0, 16]"
season,"[15, 0, 36, 0, 47, 0, 70, 0, 70]"
furikak,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
bed,"[4, 0, 4, 0, 2, 0, 8, 0, 8]"
sush,"[176, 0, 156, 0, 216, 0, 366, 0, 303]"
or,"[283, 0, 249, 0, 467, 0, 620, 0, 428]"
whol,"[41, 0, 28, 0, 27, 0, 58, 0, 54]"
ingredy,"[28, 0, 47, 0, 44, 0, 84, 0, 104]"
comply,"[6, 0, 8, 0, 17, 0, 40, 0, 31]"
contrast,"[1, 0, 0, 0, 3, 0, 11, 0, 8]"
each,"[32, 0, 45, 0, 62, 0, 102, 0, 87]"
beauty,"[1, 0, 7, 0, 19, 0, 39, 0, 50]"
vac,"[0, 0, 1, 0, 1, 0, 3, 0, 2]"
tastebud,"[1, 0, 1, 0, 1, 0, 4, 0, 1]"
without,"[58, 0, 36, 0, 49, 0, 77, 0, 73]"
break,"[13, 0, 3, 0, 8, 0, 18, 0, 13]"
bank,"[0, 0, 0, 0, 2, 0, 5, 0, 5]"
check,"[37, 0, 36, 0, 51, 0, 95, 0, 97]"
yelp,"[21, 0, 13, 0, 18, 0, 41, 0, 43]"
1,"[61, 0, 39, 0, 73, 0, 85, 0, 50]"
choos,"[7, 0, 20, 0, 31, 0, 46, 0, 66]"
liv,"[17, 0, 21, 0, 26, 0, 70, 0, 78]"
guelph,"[1, 0, 0, 0, 3, 0, 5, 0, 3]"
wo,"[60, 0, 56, 0, 25, 0, 47, 0, 43]"
driv,"[62, 0, 23, 0, 31, 0, 50, 0, 34]"
ont,"[60, 0, 80, 0, 87, 0, 112, 0, 101]"
new,"[81, 0, 58, 0, 105, 0, 149, 0, 168]"
clos,"[71, 0, 61, 0, 68, 0, 123, 0, 79]"
univers,"[28, 0, 39, 0, 54, 0, 90, 0, 51]"
camp,"[6, 0, 23, 0, 27, 0, 48, 0, 26]"
special,"[7, 0, 5, 0, 12, 0, 20, 0, 24]"
island,"[2, 0, 3, 0, 1, 0, 9, 0, 2]"
think,"[101, 0, 113, 0, 217, 0, 250, 0, 137]"
wor,"[51, 0, 82, 0, 99, 0, 216, 0, 218]"
money,"[107, 0, 37, 0, 24, 0, 43, 0, 39]"
item,"[39, 0, 64, 0, 97, 0, 180, 0, 129]"
instead,"[59, 0, 61, 0, 44, 0, 96, 0, 28]"
pack,"[13, 0, 22, 0, 43, 0, 75, 0, 53]"
ratio,"[1, 0, 5, 0, 15, 0, 15, 0, 4]"
could,"[235, 0, 151, 0, 171, 0, 269, 0, 178]"
rice/littl,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
yummy,"[3, 0, 4, 0, 14, 0, 68, 0, 52]"
leav,"[62, 0, 28, 0, 48, 0, 62, 0, 44]"
blo,"[1, 0, 2, 0, 0, 0, 2, 0, 0]"
afterward,"[6, 0, 6, 0, 8, 0, 17, 0, 10]"
avail,"[17, 0, 18, 0, 44, 0, 70, 0, 37]"
prob,"[46, 0, 100, 0, 140, 0, 149, 0, 118]"
smart,"[4, 0, 0, 0, 0, 0, 4, 0, 2]"
may,"[22, 0, 29, 0, 55, 0, 74, 0, 58]"
simply,"[19, 0, 17, 0, 16, 0, 24, 0, 34]"
due,"[23, 0, 10, 0, 24, 0, 36, 0, 17]"
fact,"[29, 0, 34, 0, 44, 0, 68, 0, 31]"
verdict,"[3, 0, 4, 0, 5, 0, 4, 0, 3]"
pot,"[18, 0, 24, 0, 47, 0, 40, 0, 41]"
pok\xc3\xa9,"[0, 0, 0, 0, 0, 0, 1, 0, 2]"
extrem,"[69, 0, 53, 0, 41, 0, 57, 0, 77]"
expect,"[74, 0, 127, 0, 184, 0, 214, 0, 94]"
run,"[45, 0, 27, 0, 29, 0, 57, 0, 51]"
perfect,"[7, 0, 13, 0, 50, 0, 219, 0, 275]"
chos,"[8, 0, 14, 0, 11, 0, 33, 0, 25]"
half,"[93, 0, 63, 0, 65, 0, 79, 0, 35]"
high,"[49, 0, 71, 0, 115, 0, 213, 0, 286]"
recommend,"[87, 0, 76, 0, 129, 0, 434, 0, 492]"
leftov,"[8, 0, 11, 0, 7, 0, 14, 0, 22]"
needless,"[8, 0, 3, 0, 3, 0, 5, 0, 5]"
pricey,"[3, 0, 12, 0, 43, 0, 78, 0, 55]"
bet,"[129, 0, 214, 0, 241, 0, 307, 0, 140]"
confus,"[13, 0, 11, 0, 19, 0, 16, 0, 7]"
ent,"[20, 0, 40, 0, 57, 0, 90, 0, 54]"
shrimp,"[22, 0, 44, 0, 60, 0, 105, 0, 79]"
tempur,"[2, 0, 18, 0, 17, 0, 31, 0, 17]"
aft,"[254, 0, 197, 0, 199, 0, 280, 0, 172]"
bought,"[7, 0, 9, 0, 4, 0, 13, 0, 13]"
school,"[10, 0, 7, 0, 14, 0, 23, 0, 27]"
30,"[32, 0, 21, 0, 23, 0, 29, 0, 22]"
minut,"[227, 0, 143, 0, 117, 0, 123, 0, 69]"
sold,"[5, 0, 0, 0, 5, 0, 7, 0, 12]"
crispy,"[21, 0, 27, 0, 45, 0, 88, 0, 60]"
oh,"[27, 0, 16, 0, 21, 0, 25, 0, 44]"
god,"[7, 0, 5, 0, 3, 0, 6, 0, 8]"
cry,"[2, 0, 1, 0, 2, 0, 2, 0, 2]"
here\xef\xbc\x8cit,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
appear,"[11, 0, 25, 0, 22, 0, 16, 0, 16]"
45/5,"[0, 0, 2, 0, 0, 0, 4, 0, 5]"
cuz,"[1, 0, 3, 0, 2, 0, 5, 0, 2]"
much,"[125, 0, 172, 0, 256, 0, 303, 0, 182]"
ton,"[14, 0, 11, 0, 22, 0, 31, 0, 35]"
red,"[12, 0, 16, 0, 36, 0, 87, 0, 47]"
blu,"[4, 0, 6, 0, 11, 0, 6, 0, 15]"
detail,"[4, 0, 3, 0, 6, 0, 11, 0, 18]"
pric,"[110, 0, 226, 0, 414, 0, 597, 0, 466]"
cheap,"[41, 0, 56, 0, 92, 0, 116, 0, 87]"
meat,"[108, 0, 131, 0, 168, 0, 281, 0, 226]"
comp,"[20, 0, 45, 0, 72, 0, 116, 0, 60]"
sam,"[78, 0, 70, 0, 101, 0, 103, 0, 44]"
chines,"[33, 0, 63, 0, 97, 0, 135, 0, 86]"
smok,"[19, 0, 17, 0, 34, 0, 58, 0, 61]"
d,"[72, 0, 101, 0, 146, 0, 207, 0, 118]"
return,"[84, 0, 63, 0, 49, 0, 82, 0, 95]"
rest,"[29, 0, 30, 0, 23, 0, 42, 0, 17]"
right,"[75, 0, 54, 0, 91, 0, 158, 0, 125]"
laury,"[1, 0, 3, 0, 4, 0, 11, 0, 7]"
excel,"[10, 0, 13, 0, 56, 0, 239, 0, 246]"
minim,"[5, 0, 7, 0, 11, 0, 11, 0, 8]"
trendy,"[1, 0, 4, 0, 6, 0, 10, 0, 10]"
sign,"[26, 0, 21, 0, 36, 0, 58, 0, 44]"
cre,"[5, 0, 8, 0, 16, 0, 39, 0, 36]"
feat,"[4, 0, 6, 0, 8, 0, 23, 0, 24]"
welcom,"[8, 0, 6, 0, 16, 0, 41, 0, 70]"
happy,"[24, 0, 17, 0, 32, 0, 95, 0, 95]"
set,"[14, 0, 20, 0, 38, 0, 52, 0, 29]"
should,"[102, 0, 104, 0, 87, 0, 116, 0, 72]"
introduc,"[2, 0, 2, 0, 3, 0, 4, 0, 15]"
ad,"[39, 0, 33, 0, 72, 0, 121, 0, 97]"
attract,"[0, 0, 3, 0, 12, 0, 13, 0, 7]"
who,"[108, 0, 74, 0, 106, 0, 174, 0, 139]"
sev,"[46, 0, 26, 0, 43, 0, 45, 0, 51]"
expend,"[30, 0, 54, 0, 81, 0, 94, 0, 47]"
6,"[33, 0, 26, 0, 38, 0, 50, 0, 44]"
025,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
prefer,"[0, 0, 3, 0, 2, 0, 10, 0, 9]"
espec,"[18, 0, 39, 0, 78, 0, 117, 0, 93]"
pea,"[3, 0, 6, 0, 4, 0, 10, 0, 8]"
shoot,"[1, 0, 1, 0, 1, 0, 5, 0, 3]"
flav,"[17, 0, 24, 0, 43, 0, 101, 0, 88]"
saw,"[43, 0, 22, 0, 30, 0, 26, 0, 29]"
print,"[1, 0, 2, 0, 2, 0, 3, 0, 1]"
receipt,"[20, 0, 4, 0, 5, 0, 3, 0, 2]"
disappoint,"[128, 0, 186, 0, 122, 0, 138, 0, 122]"
let,"[56, 0, 45, 0, 52, 0, 47, 0, 78]"
forget,"[9, 0, 20, 0, 12, 0, 19, 0, 20]"
extr,"[37, 0, 51, 0, 69, 0, 109, 0, 83]"
dol,"[0, 0, 1, 0, 0, 0, 2, 0, 2]"
storefront,"[0, 0, 1, 0, 0, 0, 3, 0, 3]"
although,"[11, 0, 38, 0, 95, 0, 146, 0, 66]"
aesthet,"[3, 0, 1, 0, 9, 0, 10, 0, 6]"
?,"[298, 0, 194, 0, 196, 0, 235, 0, 162]"
l,"[4, 0, 2, 0, 2, 0, 4, 0, 1]"
solid,"[2, 0, 6, 0, 23, 0, 60, 0, 18]"
nev,"[240, 0, 84, 0, 97, 0, 157, 0, 216]"
burrito/roll,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
rol,"[80, 0, 94, 0, 161, 0, 297, 0, 180]"
burst,"[1, 0, 1, 0, 2, 0, 5, 0, 4]"
hard,"[58, 0, 57, 0, 87, 0, 121, 0, 83]"
eat,"[291, 0, 206, 0, 268, 0, 397, 0, 400]"
way,"[91, 0, 102, 0, 138, 0, 172, 0, 141]"
subtl,"[0, 0, 1, 0, 1, 0, 6, 0, 6]"
miss,"[20, 0, 45, 0, 66, 0, 80, 0, 59]"
14,"[3, 0, 4, 0, 9, 0, 16, 0, 12]"
expery,"[159, 0, 122, 0, 140, 0, 264, 0, 203]"
rel,"[9, 0, 25, 0, 35, 0, 56, 0, 22]"
init,"[4, 0, 6, 0, 11, 0, 12, 0, 12]"
impress,"[21, 0, 46, 0, 59, 0, 105, 0, 87]"
refresh,"[0, 0, 2, 0, 9, 0, 20, 0, 22]"
fish/sashimi,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
22/25,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
5/5,"[0, 0, 5, 0, 2, 0, 8, 0, 35]"
includ,"[22, 0, 29, 0, 71, 0, 114, 0, 99]"
crunchy,"[6, 0, 9, 0, 16, 0, 30, 0, 21]"
radish/onion,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
seawee,"[4, 0, 9, 0, 7, 0, 23, 0, 8]"
chewy,"[10, 0, 14, 0, 16, 0, 27, 0, 12]"
tend,"[12, 0, 21, 0, 46, 0, 110, 0, 91]"
cho,"[31, 0, 32, 0, 82, 0, 126, 0, 85]"
presentation/port,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
fulfil,"[3, 0, 2, 0, 1, 0, 3, 0, 3]"
fluffy,"[0, 0, 0, 0, 6, 0, 18, 0, 18]"
contain,"[35, 0, 19, 0, 13, 0, 18, 0, 17]"
vary,"[13, 0, 38, 0, 99, 0, 161, 0, 129]"
4/5,"[1, 0, 10, 0, 10, 0, 29, 0, 12]"
nat,"[1, 0, 3, 0, 10, 0, 19, 0, 21]"
unfin,"[0, 0, 1, 0, 2, 0, 0, 0, 1]"
mayb,"[49, 0, 83, 0, 98, 0, 90, 0, 31]"
yet,"[23, 0, 17, 0, 34, 0, 57, 0, 63]"
triangul,"[0, 0, 0, 0, 0, 0, 1, 0, 1]"
shap,"[2, 0, 1, 0, 3, 0, 4, 0, 5]"
sometim,"[18, 0, 18, 0, 56, 0, 102, 0, 51]"
lack,"[44, 0, 75, 0, 57, 0, 63, 0, 19]"
pract,"[11, 0, 7, 0, 4, 0, 5, 0, 4]"
sit,"[56, 0, 64, 0, 59, 0, 107, 0, 56]"
everyon,"[25, 0, 15, 0, 33, 0, 57, 0, 92]"
smil,"[14, 0, 12, 0, 11, 0, 15, 0, 31]"
complaint,"[5, 0, 14, 0, 31, 0, 81, 0, 37]"
bal,"[14, 0, 35, 0, 33, 0, 48, 0, 44]"
misago,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
cucumb,"[2, 0, 13, 0, 8, 0, 22, 0, 13]"
spicy,"[31, 0, 60, 0, 93, 0, 203, 0, 123]"
aiol,"[0, 0, 1, 0, 1, 0, 5, 0, 5]"
atmosph,"[22, 0, 43, 0, 119, 0, 255, 0, 212]"
hell,"[0, 0, 0, 0, 0, 0, 1, 0, 2]"
instagram,"[0, 0, 1, 0, 0, 0, 5, 0, 5]"
whit,"[17, 0, 24, 0, 38, 0, 41, 0, 33]"
kw,"[20, 0, 31, 0, 51, 0, 140, 0, 190]"
preset,"[1, 0, 0, 0, 1, 0, 0, 0, 2]"
decid,"[81, 0, 47, 0, 84, 0, 118, 0, 88]"
sooo,"[1, 0, 3, 0, 2, 0, 8, 0, 12]"
stuff,"[22, 0, 25, 0, 60, 0, 85, 0, 57]"
consid,"[25, 0, 25, 0, 53, 0, 65, 0, 50]"
fair,"[15, 0, 36, 0, 77, 0, 113, 0, 69]"
learn,"[7, 0, 2, 0, 6, 0, 8, 0, 16]"
plu,"[21, 0, 23, 0, 42, 0, 65, 0, 52]"
brand,"[10, 0, 3, 0, 6, 0, 9, 0, 5]"
conceiv,"[1, 0, 2, 0, 8, 0, 14, 0, 12]"
awesom,"[5, 0, 7, 0, 32, 0, 95, 0, 171]"
fut,"[10, 0, 7, 0, 11, 0, 10, 0, 13]"
rec,"[23, 0, 34, 0, 50, 0, 68, 0, 39]"
heard,"[20, 0, 27, 0, 28, 0, 45, 0, 37]"
rip,"[11, 0, 7, 0, 7, 0, 6, 0, 5]"
tid,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
doe,"[66, 0, 59, 0, 109, 0, 145, 0, 78]"
comfort,"[3, 0, 5, 0, 26, 0, 82, 0, 55]"
burrito,"[41, 0, 49, 0, 61, 0, 88, 0, 39]"
deconstruct,"[0, 0, 0, 0, 2, 0, 2, 0, 1]"
hit,"[5, 0, 11, 0, 45, 0, 63, 0, 30]"
bland,"[47, 0, 79, 0, 69, 0, 35, 0, 10]"
everyth,"[65, 0, 68, 0, 96, 0, 198, 0, 249]"
didnt,"[20, 0, 8, 0, 7, 0, 13, 0, 2]"
12,"[12, 0, 10, 0, 28, 0, 28, 0, 20]"
bef,"[134, 0, 89, 0, 141, 0, 144, 0, 122]"
tax,"[8, 0, 12, 0, 26, 0, 32, 0, 31]"
again,"[241, 0, 134, 0, 152, 0, 275, 0, 215]"
someth,"[65, 0, 97, 0, 132, 0, 150, 0, 113]"
quaint,"[0, 0, 1, 0, 10, 0, 10, 0, 13]"
dont,"[14, 0, 6, 0, 9, 0, 16, 0, 7]"
guil,"[0, 0, 0, 0, 2, 0, 2, 0, 0]"
story,"[8, 0, 7, 0, 11, 0, 7, 0, 0]"
imo,"[0, 0, 5, 0, 6, 0, 14, 0, 5]"
curios,"[0, 0, 3, 0, 3, 0, 1, 0, 1]"
blown,"[2, 0, 1, 0, 3, 0, 8, 0, 17]"
away,"[61, 0, 57, 0, 47, 0, 97, 0, 81]"
now,"[87, 0, 68, 0, 103, 0, 130, 0, 123]"
addict,"[2, 0, 0, 0, 1, 0, 9, 0, 10]"
exampl,"[10, 0, 4, 0, 9, 0, 14, 0, 9]"
visit,"[56, 0, 77, 0, 108, 0, 211, 0, 188]"
wow,"[8, 0, 10, 0, 8, 0, 25, 0, 51]"
ll,"[42, 0, 79, 0, 83, 0, 155, 0, 151]"
yourself,"[17, 0, 12, 0, 7, 0, 38, 0, 32]"
favo,"[4, 0, 5, 0, 3, 0, 3, 0, 10]"
gav,"[64, 0, 38, 0, 52, 0, 55, 0, 42]"
left,"[118, 0, 60, 0, 66, 0, 58, 0, 41]"
bulgog,"[0, 0, 13, 0, 16, 0, 37, 0, 17]"
banh,"[0, 0, 6, 0, 6, 0, 29, 0, 29]"
mi,"[0, 0, 6, 0, 8, 0, 34, 0, 31]"
crackl,"[0, 0, 1, 0, 1, 0, 15, 0, 7]"
pork,"[52, 0, 91, 0, 174, 0, 256, 0, 207]"
bel,"[6, 0, 17, 0, 28, 0, 75, 0, 48]"
bao,"[1, 0, 20, 0, 22, 0, 183, 0, 179]"
kimch,"[5, 0, 10, 0, 23, 0, 63, 0, 48]"
fri,"[131, 0, 192, 0, 278, 0, 470, 0, 303]"
incred,"[18, 0, 21, 0, 16, 0, 30, 0, 77]"
standout,"[0, 0, 0, 0, 8, 0, 5, 0, 4]"
tha,"[34, 0, 36, 0, 114, 0, 239, 0, 138]"
sery,"[28, 0, 23, 0, 10, 0, 17, 0, 31]"
suppos,"[39, 0, 28, 0, 34, 0, 18, 0, 11]"
gooey,"[3, 0, 1, 0, 3, 0, 5, 0, 3]"
dry,"[52, 0, 100, 0, 72, 0, 73, 0, 31]"
grey,"[4, 0, 1, 0, 0, 0, 2, 0, 1]"
underwhelm,"[6, 0, 12, 0, 17, 0, 5, 0, 0]"
hint,"[6, 0, 1, 0, 7, 0, 8, 0, 7]"
redeem,"[3, 0, 9, 0, 2, 0, 1, 0, 1]"
sad,"[19, 0, 31, 0, 20, 0, 24, 0, 15]"
rough,"[1, 0, 5, 0, 7, 0, 9, 0, 11]"
bug,"[5, 0, 1, 0, 2, 0, 1, 0, 1]"
hour,"[119, 0, 58, 0, 80, 0, 109, 0, 75]"
ear,"[16, 0, 14, 0, 26, 0, 59, 0, 50]"
websit,"[11, 0, 6, 0, 4, 0, 9, 0, 3]"
10,"[77, 0, 62, 0, 84, 0, 96, 0, 65]"
8:40,"[1, 0, 0, 0, 0, 0, 1, 0, 0]"
takeout,"[33, 0, 31, 0, 46, 0, 55, 0, 42]"
9,"[10, 0, 6, 0, 7, 0, 19, 0, 10]"
she,"[352, 0, 184, 0, 167, 0, 178, 0, 118]"
meant,"[3, 0, 7, 0, 5, 0, 7, 0, 3]"
emerg,"[1, 0, 0, 0, 0, 0, 0, 0, 1]"
hop,"[44, 0, 51, 0, 48, 0, 68, 0, 33]"
kid,"[43, 0, 24, 0, 38, 0, 49, 0, 43]"
sham,"[18, 0, 6, 0, 5, 0, 10, 0, 5]"
tradit,"[6, 0, 9, 0, 21, 0, 36, 0, 39]"
ethn,"[1, 0, 1, 0, 1, 0, 2, 0, 2]"
hipst,"[4, 0, 2, 0, 5, 0, 9, 0, 19]"
might,"[18, 0, 34, 0, 44, 0, 77, 0, 63]"
post,"[27, 0, 7, 0, 7, 0, 16, 0, 14]"
upd,"[11, 0, 9, 0, 24, 0, 26, 0, 16]"
review,"[81, 0, 83, 0, 113, 0, 151, 0, 111]"
convint,"[7, 0, 4, 0, 4, 0, 7, 0, 3]"
myself,"[17, 0, 22, 0, 36, 0, 52, 0, 39]"
tel,"[84, 0, 45, 0, 29, 0, 59, 0, 52]"
bonk,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
spic,"[11, 0, 22, 0, 37, 0, 89, 0, 82]"
profil,"[1, 0, 1, 0, 1, 0, 2, 0, 3]"
rac,"[2, 0, 0, 0, 0, 0, 0, 0, 0]"
assum,"[16, 0, 8, 0, 9, 0, 19, 0, 4]"
kraft,"[2, 0, 0, 0, 0, 0, 1, 0, 0]"
hot,"[77, 0, 77, 0, 132, 0, 227, 0, 181]"
dog,"[14, 0, 5, 0, 5, 0, 3, 0, 10]"
drov,"[8, 0, 1, 0, 5, 0, 8, 0, 4]"
20,"[59, 0, 45, 0, 45, 0, 47, 0, 22]"
sandwich,"[77, 0, 62, 0, 91, 0, 175, 0, 266]"
gas,"[2, 0, 1, 0, 3, 0, 1, 0, 1]"
discov,"[6, 0, 2, 0, 7, 0, 17, 0, 20]"
bar,"[73, 0, 78, 0, 92, 0, 164, 0, 143]"
singl,"[20, 0, 13, 0, 27, 0, 20, 0, 17]"
hair,"[28, 0, 11, 0, 6, 0, 1, 0, 4]"
ruin,"[14, 0, 7, 0, 6, 0, 1, 0, 1]"
appetit,"[8, 0, 4, 0, 2, 0, 12, 0, 9]"
entir,"[31, 0, 25, 0, 25, 0, 36, 0, 28]"
strands,"[0, 0, 2, 0, 0, 0, 0, 0, 0]"
start,"[69, 0, 51, 0, 67, 0, 105, 0, 93]"
kept,"[12, 0, 23, 0, 21, 0, 25, 0, 29]"
pul,"[23, 0, 20, 0, 30, 0, 49, 0, 41]"
apart,"[11, 0, 7, 0, 13, 0, 31, 0, 16]"
hubby,"[1, 0, 7, 0, 7, 0, 7, 0, 7]"
chick,"[188, 0, 268, 0, 423, 0, 608, 0, 434]"
katsu,"[0, 0, 9, 0, 2, 0, 25, 0, 24]"
dynasty,"[0, 0, 4, 0, 4, 0, 27, 0, 22]"
fiv,"[7, 0, 12, 0, 15, 0, 32, 0, 26]"
seo,"[4, 0, 7, 0, 11, 0, 27, 0, 27]"
beef,"[69, 0, 101, 0, 147, 0, 253, 0, 190]"
kim,"[0, 0, 1, 0, 2, 0, 2, 0, 2]"
chi,"[0, 0, 1, 0, 0, 0, 4, 0, 4]"
bil,"[57, 0, 50, 0, 59, 0, 57, 0, 23]"
most,"[73, 0, 121, 0, 172, 0, 231, 0, 175]"
ov,"[177, 0, 173, 0, 187, 0, 243, 0, 169]"
pek,"[0, 0, 1, 0, 2, 0, 1, 0, 2]"
difficult,"[7, 0, 13, 0, 18, 0, 34, 0, 10]"
level,"[10, 0, 11, 0, 20, 0, 42, 0, 33]"
commerc,"[2, 0, 6, 0, 1, 0, 1, 0, 1]"
resid,"[1, 0, 2, 0, 4, 0, 15, 0, 9]"
dust,"[4, 0, 5, 0, 1, 0, 3, 0, 0]"
construct,"[2, 0, 5, 0, 5, 0, 12, 0, 3]"
surround,"[1, 0, 5, 0, 3, 0, 5, 0, 7]"
townh,"[0, 0, 1, 0, 0, 0, 1, 0, 0]"
unsight,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
black,"[20, 0, 15, 0, 20, 0, 38, 0, 27]"
garb,"[27, 0, 4, 0, 1, 0, 1, 0, 7]"
bag,"[18, 0, 10, 0, 9, 0, 15, 0, 8]"
met,"[4, 0, 5, 0, 5, 0, 13, 0, 15]"
larch,"[0, 0, 1, 0, 0, 0, 6, 0, 5]"
street,"[26, 0, 18, 0, 25, 0, 71, 0, 54]"
four,"[8, 0, 14, 0, 34, 0, 54, 0, 28]"
8,"[13, 0, 21, 0, 27, 0, 35, 0, 20]"
term,"[9, 0, 18, 0, 40, 0, 48, 0, 14]"
worst,"[127, 0, 40, 0, 18, 0, 7, 0, 5]"
2,"[106, 0, 131, 0, 153, 0, 175, 0, 129]"
5,"[83, 0, 65, 0, 90, 0, 167, 0, 116]"
styl,"[12, 0, 26, 0, 51, 0, 76, 0, 67]"
roast,"[7, 0, 8, 0, 39, 0, 54, 0, 39]"
skin,"[6, 0, 13, 0, 6, 0, 19, 0, 8]"
hoisin,"[2, 0, 4, 0, 3, 0, 3, 0, 1]"
dish,"[138, 0, 221, 0, 294, 0, 488, 0, 386]"
juicy,"[3, 0, 5, 0, 15, 0, 50, 0, 41]"
35/5,"[0, 0, 1, 0, 8, 0, 11, 0, 0]"
room,"[23, 0, 17, 0, 47, 0, 58, 0, 37]"
temp,"[7, 0, 9, 0, 9, 0, 7, 0, 2]"
okay,"[50, 0, 68, 0, 114, 0, 67, 0, 13]"
hap,"[52, 0, 29, 0, 23, 0, 21, 0, 12]"
nee,"[66, 0, 75, 0, 104, 0, 172, 0, 105]"
invest,"[1, 0, 0, 0, 2, 0, 2, 0, 1]"
net,"[2, 0, 0, 0, 1, 0, 0, 0, 0]"
shed,"[0, 0, 0, 0, 1, 0, 0, 0, 1]"
smel,"[25, 0, 25, 0, 27, 0, 21, 0, 27]"
const,"[11, 0, 1, 0, 10, 0, 12, 0, 7]"
stain,"[1, 0, 0, 0, 4, 0, 1, 0, 1]"
cloth,"[3, 0, 2, 0, 2, 0, 3, 0, 1]"
hid,"[4, 0, 3, 0, 11, 0, 34, 0, 66]"
gem,"[0, 0, 1, 0, 5, 0, 27, 0, 81]"
tiny,"[21, 0, 33, 0, 10, 0, 20, 0, 17]"
city,"[5, 0, 14, 0, 14, 0, 40, 0, 57]"
incorp,"[0, 0, 0, 0, 0, 0, 2, 0, 0]"
cult,"[1, 0, 3, 0, 4, 0, 8, 0, 11]"
fav,"[5, 0, 4, 0, 4, 0, 22, 0, 24]"
cook,"[101, 0, 87, 0, 114, 0, 187, 0, 159]"
fac,"[17, 0, 11, 0, 13, 0, 16, 0, 16]"
condo,"[0, 0, 0, 0, 0, 0, 4, 0, 0]"
cutlet,"[2, 0, 6, 0, 2, 0, 6, 0, 0]"
weekend,"[13, 0, 21, 0, 34, 0, 63, 0, 53]"
believ,"[21, 0, 16, 0, 23, 0, 43, 0, 43]"
nearby,"[7, 0, 4, 0, 17, 0, 26, 0, 15]"
hassl,"[3, 0, 0, 0, 3, 0, 3, 0, 1]"
oft,"[13, 0, 25, 0, 59, 0, 100, 0, 80]"
wasnt,"[4, 0, 5, 0, 3, 0, 3, 0, 2]"
flaw,"[0, 0, 2, 0, 2, 0, 2, 0, 5]"
****,"[0, 0, 0, 0, 0, 0, 3, 0, 0]"
bang,"[2, 0, 3, 0, 13, 0, 14, 0, 16]"
cold,"[96, 0, 72, 0, 53, 0, 67, 0, 36]"
milk,"[6, 0, 8, 0, 18, 0, 27, 0, 22]"
cozy,"[4, 0, 1, 0, 20, 0, 47, 0, 62]"
benea,"[0, 0, 0, 0, 1, 0, 1, 0, 0]"
guid,"[1, 0, 0, 0, 2, 0, 4, 0, 2]"
popul,"[5, 0, 9, 0, 32, 0, 43, 0, 28]"
;,"[66, 0, 130, 0, 216, 0, 282, 0, 215]"
behind,"[28, 0, 14, 0, 18, 0, 29, 0, 33]"
indee,"[4, 0, 2, 0, 2, 0, 9, 0, 8]"
tricky,"[0, 0, 0, 0, 3, 0, 2, 0, 2]"
interest,"[10, 0, 14, 0, 64, 0, 65, 0, 43]"
viet,"[1, 0, 3, 0, 3, 0, 6, 0, 3]"
